"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 07 18:28:45 SAMT 2023","Tue Mar 07 18:29:09 SAMT 2023","24052","","test_employee_page_1","","","","Запрос списка сотрудников.","ПОлучить список сотрудников и БД и при помощи запроса чарез  API и сравнить полученные данные"
"skipped","Tue Mar 07 18:29:12 SAMT 2023","Tue Mar 07 18:29:12 SAMT 2023","511","","test_employee_page_1","","","","Создание нового сотрудника.","Создать запись о новом сотруднике. Сделать запрос о создании записи                     по  API и через БД. В запросе по API намерено указать невалидные данные.                     Сравнить результаты возвращаемых ответов. Проверить статус-код, возвращаемый по API"
"skipped","Tue Mar 07 18:29:11 SAMT 2023","Tue Mar 07 18:29:12 SAMT 2023","457","","test_employee_page_1","","","","Создание нового сотрудника.","Создать новую компанию, в этой компании создать запись о новом сотруднике. Сделать запрос о создании                     по  API и через БД. В запросе по API намерено отправить невалидные данные.                     Сравнить результаты возвращаемых ответов. Проверить статус-код, возвращаемый по API"
"skipped","Tue Mar 07 18:29:19 SAMT 2023","Tue Mar 07 18:29:21 SAMT 2023","1573","","test_employee_page_1","","","","Получение записи о сотруднике","Создать новую компанию. В этой компании создать новую запись о сотруднике. Запросить информацию о сотруднике                     по  API и через БД. Провести проверку с неверным статус-кодом, возвращаемый по API"
"skipped","Tue Mar 07 18:29:21 SAMT 2023","Tue Mar 07 18:29:21 SAMT 2023","374","","test_employee_page_1","","","","Получение записи о сотруднике","Сформировать данные для запроса с несуществующим id. Запросить информацию о сотруднике                     по  API. Провести проверку статус-кода, возвращаемого по API"
"passed","Tue Mar 07 18:29:24 SAMT 2023","Tue Mar 07 18:29:25 SAMT 2023","1373","","test_employee_page_1","","","","Редактирование записи о сотруднике","Создать новую компанию, создать в ней запись о новом сотруднике . Изменить  информацию о сотруднике                     по  API. В запросе по API отправить данные с нарушением формата значения для ключа 'isActive'.  Запросить измененные данные о                      сотруднике через БД. Провести проверку возвращаемого тела ответа. Провести проверку возвращаемого статус-кода"
"skipped","Tue Mar 07 18:29:23 SAMT 2023","Tue Mar 07 18:29:24 SAMT 2023","892","","test_employee_page_1","","","","Редактирование записи о сотруднике","Создать новую компанию, создать в ней запись о новом сотруднике . Изменить  информацию о сотруднике                     по  API. В запросе по API отправить данные с нарушенем формата.  Запросить измененные данные о                      сотруднике через БД. Провести проверку возвращаемого статус-кода"
"passed","Tue Mar 07 18:29:09 SAMT 2023","Tue Mar 07 18:29:10 SAMT 2023","570","","test_employee_page_1","","","","Запрос списка сотрудников.","Сформировать запрос списка вех сотрудников компании с несуществующим ID по API и проверить статус код возвращаемого ответа"
"passed","Tue Mar 07 18:29:21 SAMT 2023","Tue Mar 07 18:29:23 SAMT 2023","1360","","test_employee_page_1","","","","Редактирование записи о сотруднике","Создать новую компанию, создать в ней запись о новом сотруднике . Изменить  информацию о сотруднике                     по  API.  Запросить измененные данные о сотруднике через БД. Провести проверку                    соответствие данных полученных по API и с БД"
"passed","Tue Mar 07 18:29:10 SAMT 2023","Tue Mar 07 18:29:11 SAMT 2023","1245","","test_employee_page_1","","","","Создание нового сотрудника.","Создать новую компанию, в этой компании создать запись о новом сотруднике. Сделать запрос о создании                     по  API и через БД. Сравнить результаты возвращаемых ответов"
"passed","Tue Mar 07 18:29:12 SAMT 2023","Tue Mar 07 18:29:19 SAMT 2023","7101","","test_employee_page_1","","","","Получение записи о сотруднике","Создать новую компанию. В этой компании создать новую запись о сотруднике. Запросить информацию о сотруднике                     по  API и через БД. Сравнить результаты возвращаемых ответов. Проверить статус-код, возвращаемый по API"
"skipped","Tue Mar 07 18:29:25 SAMT 2023","Tue Mar 07 18:29:25 SAMT 2023","314","","test_employee_page_1","","","","Редактирование записи о сотруднике","Сформировать данные для запроса. В данных для запроса указать несуществующий id. Отправить запрос по  по  API.                    Провести проверку возвращаемого тела ответа. Провести проверку возвращаемого статус-кода"
